text,summary
تستعد شركه سامسونغ للاعلان قريبا السبب الحقيقي لانفجار هواتف غالاكسي نوت كشفته مصادر مقربه المجموعه واكد خبراء الشركه ستعلن يوم الاثنين السبب الحقيقي لانفجار هواتف نوت الاخيره وسيتزامن الاعلان طرح النتائج الماليه حققتها سامسونغ الربع الاخير عام وترجح الاحتمالات القائمه حاليا سبب انفجار الهواتف يعود تسرع الشركه انتاجها وطرحها الاسواق اضافه انشغال الخبراء بمشروع انتاج هاتف غالاكسي S المصادر ذاتها وكانت تجربه انتاج هواتف غالاكسي نوت سيئه نوعا وجهه نظر الخبراء داخل الشركه ولكنها دفعتهم للتفكير بشكل افضل واخذ الوقت اللازم للتحقق التفاصيل طرح هاتف تلافيا لاي مشاكل تعود بنتائج كارثيه الشركه مستقبلا,"تستعد شركة سامسونغ للإعلان قريبا عن السبب الحقيقي لإنفجار هواتف ""غالاكسي نوت-7"" حسب ما كشفته مصادر مقربة من المجموعة."
اختتمت ليله البارحه فعاليات المهرجان العربي للاذاعه التلفزيون دورته انطلقت يوم وقررت اداره المهرجان حجب جوائز المسابقه الاذاعيه الرئيسيه لهذه الدوره بيان لاتحاد اذاعات الدول العربيه وقد تم خلال الدوره تتويج بالنسبه لمسابقه البرامج الوثائقيه الخاصه بالقدس العربي الجائزه الاولى القدس قصه صمود انتاج مؤسسه التلفزه التونسيه الجائزه الثانيه اسرار القدس انتاج التلفزه الفلسطينيه بالنسبه للبرامج الاذاعيه حول القضيه الفلسطينيه الجائزه الاولى برنامج باب المغاربه الاذاعه الخاصه الديوان الجائزه الثانيه برنامج القدس دره المدائن انتاج اذاعه زايد للقران الكريم الامارات بالنسبه لبرامج الاطفال الجائزه الاولى برنامج كوني انتاج المؤسسه العموميه للتلفزيون الجزائري الجائزه الثانيه برنامج مهنتي انتاج تلفزيون دوله الكويت,"وقررت إدارة المهرجان حجب جوائز المسابقة الاذاعية الرئيسية لهذه الدورة، حسب بيان لاتحاد اذاعات الدول العربية. 
اختتمت ليلة البارحة فعاليات المهرجان العربي للاذاعة و التلفزيون في دورته 18 التي انطلقت يوم 25 أفريل 2017."
حركه رمزيه لتخليد اسماء شهداء الوطن بادرت جمعيه فني رغما عني بافتتاح قاعه جديده باسم الشهيد مبروك السلطاني المدرسه الاعداديه بالمروج وقال رئيس الجمعيه سيف الجلاصي تصريح للجوهره اليوم السبت القاعه بدا تزويقها اليوم ستكون فضاء رحبا لممارسه مختلف الانشطه الثقافيه المسرحيه والسينمائيه مضيفا المبادره تاتي اطار تحسيس التلاميذ باهميه الفن والثقافه الدفاع حقوق الانسان حد تعبيره وكانت الجمعيه بادرت بالشراكه السفاره الالمانيه بتونس بتدشين قاعه للانشطه الثقافيه والفنيه دوار هيشر بمنوبه وافتتحت قاعه باسم الشهيد شكري بلعيد بالمدرسه الاعداديه بوعرقوب ولايه نابل,"في حركة رمزية لتخليد أسماء شهداء الوطن بادرت جمعية ""فني رغما عني""بافتتاح قاعة جديدة باسم الشهيد مبروك السلطاني في المدرسة الإعدادية بالمروج 6."
اعلن مهرجان ايام قرطاج المسرحيه الاربعاء دورته الجديده تنطلق وقت لاحق الشهر ستضم عملا مسرحيا بينها عملا تونسيا وفق افادت وكاله انباء رويترز وتقام الدوره الثامنه المهرجان الفتره بمشاركه دوله بينها مصر والجزائر والمغرب وسوريا ولبنان والكويت والامارات والسودان وتوجو والكاميرون ورواندا ومالي وفرنسا وايطاليا والمانيا وبلجيكا والمكسيك وفنزويلا وقال لسعد الجموسي مدير المهرجان مؤتمر صحفي عقد نسعى خلال الدوره الجديده لترسيخ البعد العربي والافريقي للمهرجان لابراز ابداعات المنطقه وتاكيد اننا صناع فن وفكر وثقافه وحضاره عكس يروج واضاف ايام قرطاج المسرحيه تطمح لتاكيد التزامها بالتنوع الثقافي والمزج مختلف الخصوصيات الفنيه عربيه وافريقيه خلال رؤيه واضحه للابداع المسرحي المعاصر العالم العربي وافريقيا وتقديمه افضل حله الانفتاح بقيه التجارب العالميه ويفتتح المهرجان بالعرض المسرحي التونسي طواف للمخرجه سيرين قنون قاعه الكوليزي بتونس العاصمه وقال الجموسي عرض الافتتاح تكمله لمشروع كتبه وحلم المسرحي الراحل عز الدين قنون وسيكون عرضا عربيا افريقيا يتلاءم روح ايام قرطاج المسرحيه وشخصيتها المميزه واضاف المهرجان سيهدي دورته الجديده للمخرج والممثل التونسي المنصف السويسي مؤسسي ايام قرطاج المسرحيه توفي الاسبوع عمر عاما ويكرم المهرجان اسماء عديده العام بينها الممثله التونسيه جليله بكار والمسرحي المغربي الراحل الطيب الصديقي والكاتبه المسرحيه ويري ويري ليكنج ساحل العاج والممثل والمخرج الجزائري محمد ادار تركوه بصمه مؤثره المسرح محليا ودوليا وتقام هامش المهرجان ندوه بعنوان شكسبير بلا حدود للبحث تاثير الكاتب الانجليزي المسرح العربي والافريقي تزامنا احياء الذكرى لوفاته وتنظم عروض المهرجان داخل مسارح وفي مدارس وجامعات وسجون يشار ايام قرطاج المسرحيه تاسست وكانت تقام عامين بالتبادل ايام قرطاج السينمائيه تحولت تظاهره سنويه,"وقال الجموسي ""عرض الافتتاح تكملة لمشروع كتبه وحلم به المسرحي الراحل عز الدين قنون وسيكون عرضا عربيا أفريقيا يتلاءم مع روح أيام قرطاج المسرحية وشخصيتها المميزة."" وأضاف أن المهرجان سيهدي دورته الجديدة للمخرج والممثل التونسي المنصف السويسي أحد مؤسسي أيام قرطاج المسرحية والذي توفي هذا الأسبوع عن عمر 72 عاما. وتقام على هامش المهرجان ندوة بعنوان ""شكسبير بلا حدود"" للبحث في تأثير الكاتب الإنجليزي في المسرح العربي والأفريقي تزامنا مع إحياء الذكرى 400 لوفاته."
واكب موفد الجوهره اليوم حفل توقيع ديوان شعري للاعلامي والشاعر التونسي مكي هامش معرض الكتاب بسوسه واختار مكي هلال شعرزاد عنوانا لديوانه الشعري الثاني وكشف انه للمراه والوطن والصديق والخيبات والنجاحات,"واكب موفد ""الجوهرة أف أم"" اليوم حفل توقيع ديوان شعري للإعلامي والشاعر التونسي مكي على هامش معرض الكتاب بسوسة. واختار مكي هلال ""شعرزاد"" عنوانا لديوانه الشعري الثاني وكشف أنه يتطرّق للمراة والوطن والصديق والخيبات والنجاحات."
انطلقت فعاليات الدوره الرابعه لصالون سوسه الدولي للكتاب بفضاء معرض سوسه الدولي لتتواصل غايه يوم الجاري ووصف المندوب الجهوي للثقافه بسوسه الشادلي العزابي تصريح ل الجوهره الدوره بالممتازه وانه تم تسجيل حضور مكثف للعارضين والناشرين تونس مختلف الدول العربيه الاخرى غرار المغرب ومصر وسوريا والجزائر واضاف انه تم برمجه عديد العروض الثقافيه ستتخل الدوره متوقعا يرتفع عدد زوار المعرض خلال العطله,انطلقت مساء أمس فعاليات الدورة الرابعة لصالون سوسة الدولي للكتاب بفضاء معرض سوسة الدولي لتتواصل إلى غاية يوم 16 أفريل الجاري. وأضاف أنه تم برمجة عديد العروض الثقافية التي ستتخل هذه الدورة، متوقعا أن يرتفع عدد زوار المعرض خلال العطلة.
مبادره نبيله يقوم متطوعون مسيحيون لبنان مدار شهر رمضان بخدمه الصائمين المسلمين باحد المطاعم بمدينه طرابلس اللبنانيه وقد اعتاد مطعم سعاده السماء فتح ابوابه للصائمين المسلمين لتقديم وجبات الافطار مجانا مقابل كلمه شكر وقد لاقت مشاركه القس الاب راشد الشويري المبادره تقديرا كبيرا طرف رواد النت حرص وعلى راس مجموعه المتطوعين خدمه الصائمين بنفسه بالمطعم يؤمه صائما يوميا رساله تعايش اللبنانيين,"وقد اعتاد مطعم ""سعادة السماء"" على فتح أبوابه للصائمين من المسلمين لتقديم وجبات الإفطار مجانا مقابل كلمة ""شكر"". 
في مبادرة نبيلة، يقوم متطوعون مسيحيون في لبنان على مدار شهر رمضان بخدمة الصائمين المسلمين بأحد المطاعم بمدينة طرابلس اللبنانية."
تميز الحفل الافتتاحي الرسمي للدوره لمهرجان موازين ببرمجه رفيعه المستوى تميزت باداء المغني الفرنسي وفنانين مغاربه واجانب ويعتبر حفل افتتاح المهرجان دائما لحظه غنيه بالاحاسيس والعواطف وموازين يخرج القاعده انه شهد تنظيم حفلتين سيتذكرهما الجمهور بدون شك الحفل الاول يوم الخميس اتاح للجمهور اعاده اكتشاف اكبر الاسماء كتابه الكلمات والتلحين والغناء والموسيقى بافريقيا الفنان يوسو ندور الوجوه الوفيه لموازين استطاع غضون سنوات الارتقاء مصاف نجوم الموسيقى العالميه اليوم الموالي الجمعه عاش الجمهور لحظات استثنائيه وساحره بمسرح محمد الخامس الاسطوره الحيه شارل ازنفور امتع الحضورالكثيف باغانيه الخالده حصل لقب فنان القرن سي سنه الفنان شارل خاض مسارا فريدا امتد سنه ويعتبر مهرجان موازين ايقاعات العالم يتواصل انشئ سنه موعدا لامحيد عنه لهواه وعشاق الموسيقى بالمغرب خلال ازيد مليونين الحضور لكل دوره دوراته الاخيره فانه يعد اكبر التظاهرات الثقافيه العالم ويقترح موازين ينظم طيله ايام شهر سنه برمجه غنيه تجمع اكبر نجوم الموسيقى العالميه والعربيه ويجعل مدينتي الرباط وسلا مسرحا لملتقيات متميزه الجمهور وتشكيله الفنانين المرموقين ويرسخ مهرجان موازين باستمرار التزامه مجال النهوض بالموسيقى المغربيه يكرس نصف برمجته لمواهب الساحه الوطنيه الفنيه ويقترح مهرجان موازين الحامل لقيم السلم والانفتاح والتسامح والاحترام ولوجا مجانيا ل المائه حفلاته جاعلا ولوج الجماهير مهمه اساسيه وعلاوه يعتبر المهرجان دعامه اساسيه للاقتصاد السياحي الجهوي وفاعلا الدرجه الاولى مجال خلق صناعه حقيقيه للفرجه بالمغرب,"ويعتبر مهرجان موازين ""إيقاعات العالم"" الذي يتواصل إلى حين 20 ماي، الذي أنشئ سنة 2001، موعدا لامحيد عنه لهواة وعشاق الموسيقى بالمغرب. ويقترح مهرجان موازين الحامل لقيم السلم، والانفتاح، والتسامح والاحترام، ولوجا مجانيا لـ 90 في المائة من حفلاته، جاعلا من ولوج الجماهير مهمة أساسية. في اليوم الموالي، الجمعة 12 ماي، عاش الجمهور لحظات استثنائية وساحرة بمسرح محمد الخامس مع الأسطورة الحية شارل أزنفور، الذي أمتع الحضورالكثيف بأغانيه الخالدة."
اصدرت وزاره الشؤون الثقافيه اليوم السبت بلاغا بخصوص اسباب مغادره الفنان يحيي الفخراني لتونس واوضحت الوزاره الفنان يحيي الفخراني الاراضي التونسيه زياره سريعه بدعوه وزير الشؤون الثقافيه محمد زين العابدين اتفق النجم القدير الوزير ترتيبات تكريمه تونس مطلع عام وعرض مسرحيته ليله ليله مدينه تونسيه المسرحيه تاليف الشاعر التونسي الكبير بيرم التونسي وعبر وزير الثقافه خلال لقائه بالفخراني تقديره وامتنانه لفنه ودعاه المشاركه موسم افتتاح مدينه الثقافه التونسيه وقد حضر اللقاء الاسعد الجاموسي مدير مهرجان ايام قرطاج المسرحيه,أصدرت وزارة الشؤون الثقافية اليوم السبت 26 نوفمبر 2016 بلاغا بخصوص أسباب مغادرة الفنان يحيي الفخراني لتونس. وعبر وزير الثقافة خلال لقائه بالفخراني عن تقديره وامتنانه لفنه ودعاه إلى المشاركة في موسم افتتاح مدينة الثقافة التونسية. وقد حضر اللقاء الأسعد الجاموسي مدير مهرجان أيام قرطاج المسرحية.
اكد نقيب الفنانين الموسيقيين مقداد السهيلي تمثال الفنان علي الرياحي تم انجازه الصين بكلفه ناهزت عالق يوم المنقضي بمطار تونس قرطاج الدولي وقال السهيلي لوكاله تونس افريقيا للانباء العيب تطلب مني وزاره الشؤون الثقافيه التخلي حقوق ملكيه المشروع بتوقيع وثيقه احاله لفائده مصالحها مقابل منحي وثيقه تخول التمتع بامتياز جبائي يسمح باخراج التمثال ظل عالقا اليوم نتيجه ارتفاع التكلفه بالنسبه جمعيه الموسيقيين التونسيين واعرب خشيته يؤثر استمرار بقاء التمثال عالقا بمستودع البضائع بالمطار العمل الفني الفريد نوعه يتطلب عنايه وظروف حفظ نظرا لنوعيه المواد المستعمله صناعه التمثال الشمع والسيليكون ووصف نقيب الموسيقيين يحدث ب الفضيحه قائلا ممثلي وسائل اعلام صينيه اتصلوا بدار الموسيقي للاطمئنان وصول التمثال تونس واعربوا رغبتهم حضور حفل الاستقبال الضخم المنتظر يقام بدار الموسيقي بتونس العاصمه لعرض تمثال الفنان علي الرياحي يحمله رمزيه كبيره وقال مقداد السهيلي بعث بمراسله لرئاسه الحكومه بتاريخ وينتظر تدخلا عاجلا رئيس الحكومه لفض الاشكال,وقال مقداد السهيلي إنه بعث بمراسلة لرئاسة الحكومة بتاريخ 31 ماي وينتظر تدخلا عاجلا من رئيس الحكومة لفض هذا الإشكال.
