text,question,answer
حاصل على الدكتوراه في تخصص النمذجة الرياضية للأنظمة الكيميائية الدقيقة من جامعة ليهاي الولايات المتحدة الأمريكية تخصص الهندسة الكيميائية عام 2005.,ما تخصص الدكتوراه؟,النمذجة الرياضية للأنظمة الكيميائية الدقيقة
بلغ عدد الأسر 722 أسرة كانت نسبة 38.8% منها لديها أطفال تحت سن الثامنة عشر تعيش معهم، وبلغت نسبة الأزواج القاطنين مع بعضهم البعض 61.8% من أصل المجموع الكلي للأسر، ونسبة 9.4% من الأسر كان لديها معيلات من الإناث دون وجود شريك، بينما كانت نسبة 3.5% من الأسر لديها معيلون من الذكور دون وجود شريكة وكانت نسبة 25.3% من غير العائلات. تألفت نسبة 21.3% من أصل جميع الأسر من عدة أفراد يعيشون في نفس المنزل ونسبة 10% كانت تتألف من شخص يعيش بمفرده يبلغ من العمر 65 عاماً أو أكثر. وبلغ متوسط حجم الأسرة المعيشية 2.67، أما متوسط حجم العائلات فبلغ 3.12.,ما هو متوسط حجم الأسرة المعيشية؟,2.67
بيير إتش. فنسنت هو محامي وسياسي كندي، ولد في 2 أبريل 1955 في تروا ريفيير في كندا. نشط حزبياً في الحزب الكندي التقدمي المحافظ. وقد انتخب عضو مجلس العموم الكندي.,في أي حزب كندي نشط بيير إتش. فنسنت؟,الحزب الكندي التقدمي المحافظ
منذ أواخر سبعينيات القرن العشرين، كتب نعوم تشومسكي إدوارد إس. هيرمان سلسلةً من الكتب حول ضلوع الولايات المتحدة في إرهاب الدولة. توافق محتوى مؤلفاتهم مع تقارير منظمة العفو الدولية وغيرها من المنظمات المعنية بحقوق الإنسان بشأن «وباء» عالمي جديد يتمثل في تعذيب الدولة وقتلها. يرى تشومسكي وهيرمان أن الذعر كان متمركزًا في منطقة نفوذ الولايات المتحدة في الدول النامية، فضلًا عن توثيق انتهاكات حقوق الإنسان التي ارتكبتها الدول العميلة الأمريكية بحق أمريكا اللاتينية. وذكرا أن من بين عشر دول أمريكية لاتينية كان لديها فرق موت، كلها كانت دول عميلة للولايات المتحدة. وزعما أن 74% من الأنظمة حول العالم ممن مارست التعذيب على أساس إداري كانت دول عميلة للولايات المتحدة، تتلقى دعمًا عسكريًا وغيره من الدعم من الولايات المتحدة للحفاض على السلطة. واستنتجا أن الارتفاع العالمي في إرهاب الدولة كان ناجمًا عن سياسة الولايات المتحدة الخارجية.,ما قدما الذي سبب ارتفاع إرهاب الدولة عالميًا؟,سياسة الولايات المتحدة الخارجية
بوبي ألموند هو لاعب كرة قدم نيوزيلندي، ولد في 16 أبريل 1951 في لندن في المملكة المتحدة. شارك مع منتخب نيوزيلندا لكرة القدم. أما مع النوادي، فقد لعب مع .,ما جنسية بوبي ألموند في كرة القدم؟,نيوزيلندي
أيام قرطاج السينمائية (الفرنسيّة: Les Journées Cinématographiques de Carthage) مهرجان سينمائي كان ينتظم بتونس كل سنتين خلال شهر أكتوبر (تشرين الأول) وأصبح بعد ذلك مناسبة سنويّة يكون موعدها مع الجمهور مابين شهر أكتوبر (تشرين الأول) ونوفمبر (تشرين الثاني) من كلّ عام، وقد تأسس عام 1966 ببادرة من الطاهر شريعة، وتشرف عليها لجنة يرأسها وزير الثقافة وتتكون من مختصين في القطاع السينمائي. أيام قرطاج السينمائية هو أقدم مهرجان سينمائي في دول الجنوب لا يزال يعقد دوراته بانتظام. وهي إحدى ثلاث تظاهرات فنية تستكمل بعضها، إذ نجد كذلك أيام قرطاج المسرحية، أيام قرطاج الشعرية وأيام قرطاج الموسيقية.,من قام بتأسيس أيام قرطاج السينمائية؟,الطاهر شريعة
قالت فحملوني على بعير ليس تحتي شيء ثم تركوني ثلاثا لا يطعموني ولا يسقوني وكانوا إذا نزلوا منزلا أوثقوني في الشمس واستظلوا هم منها وحبسوني عن الطعام والشراب فبينا هم قد نزلوا منزلا واوثقوني في الشمس إذا انا ببرد شيء على صدري فتناولته فاذا هو دلو من ماء أحلى من العسل و أبرد من الثلج فشربت منه قليلا ثم نرع مني فرفع ثم عاد فتناولته فشربت منه ثم رفع ثم عاد فتناولته ثم رفع مرارا ثم تركت فشربت حتى رويت ثم افضت سائره على جسدي وثيابي فلما استيقظوا إذا هم بأثر الماء ورأوني حسنة الهيئة فقالوا لي انحللت فاخذت سقاءنا فشربت منه قلت لا والله لكنه كان من الأمر كذا وكذا قالوا لئن كنت صادقة لدينك خير من ديننا. فلما نظروا إلى اسقيتهم وجدوها كما تركوها فاسلموا عند ذلك واقبلت إلى النبي صلى الله عليه وسلم فوهبت نفسها له بغير مهر فقبلها وخطبها.,ماذا وجدت الفتاة عند تناولها ماء الدلو؟,ماء أحلى من العسل وأبرد من الثلج.
تحتوي هذه المقالة على أهم الأحداث التي شهدتها السعودية في 1961، إضافة إلى أهم الشخصيات السعودية التي وُلدت أو تُوفيت في هذه السنة.,ما هي أبرز الأحداث التي وقعت في السعودية في عام 1961؟,أحداث تاريخية مهمة في سعودية عام 1961
تعمل الاتفاقية على تعميق العلاقات بين فيتنام والاتحاد الأوروبي وتم اعتمادها بموجب قرار المجلس (الاتحاد الأوروبي) 2020/753 المؤرخ 30 مارس 2020 بشأن إبرام اتفاقية التجارة الحرة بين الاتحاد الأوروبي وفيتنام. تم تمرير الاتفاقية في فيتنام في 8 يونيو 2020 في الجمعية الوطنية الفيتنامية ودخلت حيز التنفيذ في 1 أغسطس من ذلك العام. تمت الموافقة على كلا الاتفاقيتين من قبل المشرعين الفيتناميين بأغلبية كبيرة بلغت حوالي 95٪ من الأصوات.,ما نسبة الموافقة على الاتفاقيتين من قبل المشرعين الفيتناميين؟,حوالي 95٪
الشبابات هو دُوَّار يقع بجماعة مطماطة، إقليم تازة، جهة فاس مكناس في المملكة المغربية. ينتمي الدوّار لمشيخة بني بوزارت التي تضم 4 دواوير. يقدر عدد سكانه بـ 676 نسمة حسب الإحصاء الرسمي للسكان والسكنى لسنة 2004.,كم عدد سكان الشبابات؟,676 نسمة
لي كيو سوب مواليد 13 نوفمبر 1977 في كوريا الجنوبية، هو لاعب كرة سلة كوري جنوبي سابق. بدأ مسيرته الاحترافية في سنة 2000. لعب مع سول سامسونج ثندرز في الدوري الكوري لكرة السلة كلاعب وسط. يبلغ طوله . حقق المركز الأول في دورة الألعاب الآسيوية 2002. اعتزل اللعب في 2013.,متى بدأ لي كيو سوب مسيرته الاحترافية؟,في سنة 2000.
لعب المركز الموجود في بلغراد للمقاومة غير العنيفة دورا مهما في تكوين أطر كمارا، كما كان لمجموعة من المنظمات الغربية يد في مساندة الحركة، حيث تلقت أموالا من منظمة بيت الحرية والمؤسسة الديموقراطية الوطنية والاتحاد الأوروبي ومنظمة الأمن والتعاون في أوروبا وغيرهم.,أين تأسس المركز الذي ساهم في تكوين أطر كمارا؟,بلغراد
وتشكل الخلية البيضية الأولية مع الخلايا الحوصلية المحيطة بها ما يعرف بـالحوصلة المبيضية. تمر الخلايا البيضية الأولية بمرحلة الانقسام الاختزالي الأول الذي تنتج عنه خليتان غير متساويتين بالحجم بسبب الانقسام السايتوبلازمي غير المتساوي وتكون كلا الخليتين أحادية المجموعة الكروموسومية (س). تدعى الخلية الكبيرة الحجم بالخلية البيضية الثانوية (Secondary Oocyte) في حين تدعى الخلية صغيرة الحجم بالجسم القطبي الأول.,ما التسمية الأخرى للخلية الكبيرة الحجم في الحوصلة المبيضية؟,الخلية البيضية الثانوية
أما في الأردن فقد تم الكشف عن مباني ذات طابع عقائدي ونأتي هنا بمثال من موقع البيضا الواقع إلى الشمال من البتراء 5 كيلو متر تقريبا، وقد نقبت في الموقع كاركبرايد والتي كشفت عن مبنى مغطى ببلاطات حجرية محكمة أعطه اسم محرم (الحوراني 1998: 99).,ما اسم المبنى المكتشف في موقع البيضا؟,محرم الحوراني
وبدأت منظمة «التخدير والصدمات والعناية الفائقة» نهجًا جديدًا في تعليم الصدمات ولكن منذ ذلك الحين تقدمت نحو مجموعة الدورات التدريبية إضافة إلى فريق الصدمات وفريق الإنقاذ الذي يُقدم الرعاية على جانب الطريق وفي غيرها من البيئات الصعبة.,ماهي التطورات التي شاركت بها المنظمة بعد تعليم الصدمات؟,إضافة دورات تدريبية وفرق الصدمات.
إن ما يسمى بزجاج الصحراء الليبية هو واحد من أنقى أنواع الزجاج الطبيعي في العالم، الزجاج يكون لونه أصفر في أغلب الأحيان وقد يكون أحيانا صافي جدا يمكن الرؤية من خلاله أو مغبرا، وقد يحتوي على فقاعات صغيرة من الهواء أو قطع من الصخر الأسود. تتناثر آلاف الأطنان من هذا الزجاج عبر مئات الكيلومترات في الصحراء، معظم هذه القطع صغيرة الحجم ولكن بين الحين والآخر يتم العثور على قطع كبيرة نسبياً وأكبر قطعة تم العثور عليها بوزن 26 كغ.,ما هو زجاج الصحراء الليبية؟,نوع من الزجاج الطبيعي
"يتميز مدار هذا الكويكب بنصف محور رئيسي يبلغ 2.45 وحدة فلكية، وحضيض قدره 2.19 وحدة فلكية، وانحراف قدره 0.105 وزاوية ميلان 7.14 درجة بالنسبة لمسار الشمس. بسبب هذه الخصائص، أي نصف المحور الرئيسي بين 2 و3.2 وحدة فلكية وحضيض أكبر من 1,666 وحدة فلكية، يُصنف هذا الجُرم الفلكي وفقًا لقاعدة بيانات مختبر الدفع النفاث لأجرام النظام الشمسي الصغيرة كائنًا من حزام الكويكبات الرئيسي.",ما علاقة الحضيض بتصنيف الجُرم الفلكي ضمن حزام الكويكبات؟,يجب أن يكون الحضيض أكبر من 1.666 و.ف.
ريتشارد كويتنيوفسكي (17 مارس 1957 -) هو مخرج وسيناريست إنجليزي من أصل بولندي،  ترشحت جميع أعماله لجوائز عالمية في مهرجانات عديدة.,ما هي جنسية ريتشارد كويتنيوفسكي؟,إنجليزي
ولقد شكلت لجنة للتحقيق بحوادث يومي 1 و 2 حزيران من عام 1941 بناءً على قرار مجلس الوزراء الصادر يوم 7 حزيران 1941م، وفيما يلي نص تقرير لجنة التحقيق حول الحوادث:,ما الغرض من تشكيل لجنة التحقيق المذكورة في النص؟,للتحقيق بحوادث الأول والثاني حزيران
القصور الكلوي هو الفشل الوظيفي في الكلية، وقد يكون القصور حادا وقد يكون مزمنا. كما يمكن تقسيم القصور الكلوي إلى ما قبل الكلوي وداخلي المنشأ وبعد الكلوي.,ما هي تصنيفات القصور الكلوي؟,قبل الكلوي، داخلي المنشأ، بعد الكلوي
خاض ستيوارت بيرسون مسيرته مع نادي هال سيتي في موسم 1968–69 ليلعب معه ستة مواسم، مشاركًا في 129 مباراة سجل خلالها 44 هدفًا. ثم انتقل إلى نادي مانشستر يونايتد في موسم 1974–75 ليلعب معه خمسة مواسم، حيث شارك في 139 مباراة سجل خلالها 55 هدفًا. لينتقل بعدها إلى نادي وست هام يونايتد في موسم 1979–80 واستمر معه طيلة ثلاثة مواسم، مشاركًا في 34 مباراة سجل خلالها 6 أهداف.,كم موسم قضى بيرسون في مجموع الأندية الثلاثة؟,أربع عشرة موسمًا
ويدخل العطرون (رماد الصوديوم) في كثير من الصناعات مثل الصناعات الكيميائية غير العضوية وصناعة الزجاج وصناعة الصابون وصناعة الصودا الكاوية.ويتم تصدير كميات منه إلى دول مثل مصر واليمن.,إلى أين يتم تصدير كميات من العطرون؟,مصر واليمن.
في عصر ما قبل الاسرات بدأ منذ عهد الملك حور دن (أسرة مصرية أولى) أن يقترن باسم تتويج الملك اسم تبتي، إلا أن الاسم النبتي لم يشاع في المخطوطات الرسمية. وفي عهد الأسرة الرابعة استقر استخدام الاسم النبتي لفرعون مع إقرانه مع الإلهتين «نخبت» و«واجت» الحاميتين لمصر السفلى والعليا.,متى بدأ استخدام الاسم النبتي لفرعون في مصر؟,في عهد الأسرة الرابعة
ماري جودي ريل ؛ (16 يونيو 1946 في ولاية فيرجينيا -)، سياسية أمريكية تنتمي إلى الحزب الجمهوري وتشغل حاليا منصب حاكم على ولاية كونيتيكت منذ 1 تموز - يوليو من سنة 2004 .وتعد ماري جودي ريل ثاني امرأة تشغل منصب حاكم على ولاية كونيتيكت .,متى بدأت ماري جودي ريل في منصب حاكم ولاية كونيتيكت؟,في 1 يوليو 2004
تُشارك 16 فئة في المهرجان ويُشترط أن تحتوي كل فئة على 20 خيلًا، وأن يكون الجواد مفطومًا، وأن يزيد عمره عن 6 أشهر، وتُمنح النقاط للخيول المشاركة بناءً على الهرولة والوقوف والمشي وفقًا لتعليمات مدير الميدان، على أن تُسجل النقاط عن طريق لجنة التحكيم بالاستناد على معايير نوع الخيل وقوامه ورأسه وعنقه وجسمه ومظهره حركته.,ما هي شروط مشاركة الفِئات في المهرجان؟,20 خيلًا مفطومة عمرها أكثر من 6 أشهر
بلغ عدد الأسر 65 أسرة كانت نسبة 27.7% منها لديها أطفال تحت سن الثامنة عشر تعيش معهم، وبلغت نسبة الأزواج القاطنين مع بعضهم البعض 64.6% من أصل المجموع الكلي للأسر، ونسبة 1.5% من الأسر كان لديها معيلات من الإناث دون وجود شريك، بينما كانت نسبة 3.1% من الأسر لديها معيلون من الذكور دون وجود شريكة وكانت نسبة 30.8% من غير العائلات. تألفت نسبة 30.8% من أصل جميع الأسر من عدة أفراد يعيشون في نفس المنزل ونسبة 16.9% كانت تتألف من شخص يعيش بمفرده يبلغ من العمر 65 عاماً أو أكثر. وبلغ متوسط حجم الأسرة المعيشية 2.29، أما متوسط حجم العائلات فبلغ 2.80.,كم نسبة الأسر التي لديها أطفال تحت 18 عاماً إلى الأسر الإجمالية؟,27.7% من الأسر
في 17 يناير 2008 وقع روجر عقدًا مع غريميو بورتو أليغرينزي. في يوليو وقع روجر عقدًا مع نادي قطر القطري وغادر غريميو بورتو أليغرينزي.,ماذا حدث لروجر بورتو أليغرينزي بعد تعاقده مع نادي قطر؟,غادره
نادي عفرين الرياضي هو نادي سوري لكرة القدم مقره عفرين في سوريا. تأسس عام 1984. لعب في الدوري السوري الممتاز عامي 2007-2008 و2009-2010 ، وصعد لموسم 2021-22. تم نقل النادي إلى حلب بسبب الاحتلال التركي لعفرين عام 2018، يلعب مباريات على أرضه على ملعب الحمدانية وملعب 7 أبريل.,متى تأسس نادي عفرين الرياضي؟,عام ١٩٨٤
غوشرية هي إحدى قرى عزلة قارة بمديرية قارة التابعة لمحافظة حجة، بلغ تعداد سكانها 59 نسمة حسب تعداد اليمن لعام 2004.,كم عدد سكان قرية غوشرية؟,59 نسمة
"يمكن أن يؤدي استخدام وحيازة الاستخدام الشخصي للقنب إلى السجن لمدة عامين بالإضافة إلى الغرامات. يمكن أن تكون العقوبة على الجرائم المتعلقة بالمخدرات قاسية, بما في ذلك عقوبة الإعدام.",ما المدة القصوى للسجن جراء حيازة القنب للاستخدام الشخصي؟,عامين
تضمن إعادة تفويض قانون المسنين الأمريكيين عام 2006 مشروعاً بعنوان (خيارات من أجل الاستقلال) يهدف إلى تطوير مجتمع محلي موجه للمستهلكين، ويؤمّن خيارات رعاية طويلة الأمد (على خلاف الاختيارات المتفرقة للمجموعات مثل دور رعاية المسنين التقليدية).,ما هدف مشروع (خيارات من أجل الاستقلال)؟,تطوير مجتمع محلي موجه للمستهلكين.
بلغ عدد سكان سترانغ 32 نسمة بحسب تعداد عام 2000، وبلغ عدد الأسر 15 أسرة وعدد العائلات 9 عائلة مقيمة في القرية. في حين سجلت الكثافة السكانية . وبلغ عدد الوحدات السكنية 20 وحدة بمتوسط كثافة قدره .,كم عدد الوحدات السكنية غير المأهولة في القرية؟,حوالي 5 وحدات
من ضمن إسهامات القروي في الرياضيات المالية هي المعادلة التي وضعتها للتعبير عن العلاقة بين سعر العقود الآجلة والسعر المستقبلي للأصول. ونص المعادلة هو:,ما هي المساهمة الرئيسية للقروي في الرياضيات المالية؟,إيجاد معادلة للسعر الآجل والمستقبلي
المكيشرات هو دُوَّار يقع بجماعة بوشان، إقليم الرحامنة، جهة مراكش آسفي في المملكة المغربية. ينتمي الدوّار لمشيخة الطورش التي تضم 8 دواوير. يقدر عدد سكانه بـ 867 نسمة حسب الإحصاء الرسمي للسكان والسكنى لسنة 2004.,في أي إقليم يقع المكيشرات؟,الرحامنة
اتبع غريغوريوس طريقة خاصة يحدد بها موعد عيد القيامة فلم يعد يلجأ إلى بطريرك الإسكندرية ولا إلى حساب الأبقطي ولا إلى القواعد المرعية منذ القديم.,ما الذي لم يعد يلجأ إليه غريغوريوس لتحديد موعد عيد القيامة؟,القواعد المرعية
لم ينافس في عامي 2009 و 2010، لكنه عاد ليحتل المركز التاسع في دورة الألعاب العسكرية 2011، وكان في المركز الثاني في البطولة العربية لألعاب القوى، ثم حصل على الميدالية الذهبية في دورة الألعاب العربية 2011. فاز بميداليته الذهبية الثانية في بطولة أفريقيا لألعاب القوى 2012، بعد أن حقق ما علوه 5.10 متر.,هل شارك الرياضي في دورة الألعاب العربية قبل عام 2011؟,لا، فاز في 2011
"في البداية يرحل معهم رفعت ثم يعود لينقذ محمود وباولو اللذان بقيا لمعرفة سر ما يحدث، ولكن العساس يقوم بقتل باولو ومحمود فيعرف رفعت أن دوره قد حان، ولكنه يقوم بأعداد العدة لقتله وعندما يأتي العساس يحاول رفعت قتله باستخدام الديناميت ثم الرصاص، ولكنه يفشل في ذلك فيقوم بجذبه إلى فخ من الرمال المتحركة، وينجح في قتل العساس ولكنه يظل حبيس الرمال المتحركة إلى أن يأتي كريم وينقذه منها, ليخبره كريم - على الرغم أنه غرق في بحر الرمال - أنه سيعود لأن هناك أخرون.",من هو الشخص الذي رجع لإنقاذ الآخرين؟,رفعت
ولد المخرج السوري سليم أبو جبل عام 1971، في إحدى بلدات الجولان وهي بلدة مجدل شمس. غادر مسقط رأسه ليسكن في حيفا الّتي تقع على جبل الكرمل في فلسطين؛ وهذا للبحث عن عمل وللدّراسة فيها. درس المخرج سليم أبو جبل المسرح والأدب العربي ولاحقاً تعلّم كتابة السيناريو. يعيش أبو جبل حاليًا في رام الله حيث يعمل في مجال السّينما.,أين درس سليم أبو جبل المسرح؟,في حيفا
نظم الاخوان العراقيون في الخارج في لندن مطلع التسعينات عملهم بشكل مستقل عن العمل في داخل العراق برئاسة الدكتور أسامة التكريتي واستمروا إلى عام 2003 وأعادوا تأسيس حزب سياسي تحت عنوان الحزب الإسلامي العراقي عام 1991 برئاسة إياد السامرائي,من كان رئيس الاخوان العراقيين في لندن في التسعينات؟,أسامة التكريتي
وبالجهة الشرقية للصحن يوجد مدخل ذو ثلاثة عقود مدببة المتوسط منها متسع والجانيبان صغيران، وتعتمد العقود على عمودين متجاورين من الرخام وهي مختلفة الأحجام والتيجان وتؤدي هذه الواجهة ذات الثلاثة عقود إلى ردهة كبيرة مستطيلة مغطاة بثلاثة عقود متقاطعة، وتؤدي هذه الردهة الكبيرة بدورها إلى ثلاثة عقود، العقد المتوسط يؤدى إلى مربع مغطى بقبة، وفي صدره المحراب، والمربعان الجانبيان مغطيان بأقباء متقاطعة. وبالمربع الأيسر يوجد قبر أحد الشيوخ وان كانت العامة تقول إنه قبر سيدي الجيوشي على اسم منشئ الزاوية.,ما عدد العقود في الردهة الكبيرة؟,ثلاثة عقود
صمّم ميداليات الدورة الأولمبية الصيفية 202 «جونيتشي كاوانيشي». وصُنعت الميداليات باستخدام المعدن المستخلص من القطع الإلكترونية الصغيرة المعاد تدويرها والتي تبرع بها العامّة. أما الشريط الذي يحمل الميدالية,من أين استخلص المعدن لصنع الميداليات الأولمبية؟,من القطع الإلكترونية المعاد تدويرها
وبجانب خدماتها الفعالة في التوعية المجتمعية تقوم خريطة تحرش بتقديم دروس دفاع عن النفس وتثقيف مجتمعي لكل من الرجال والنساء.,ما الأنشطة التي تقدمها خريطة تحرش؟,دروس دفاع عن النفس
جمع عُتَبة بن شتير بن خالدٍ الكلابي جموعاً كثيرة من قومه هوازن وأغار على بنو ضبة من تميم، فأخذ إبلاً لهم وقتل حصين بن ضرار الضبي، فجمع أبوه ضرار قومه وخرج ثائراً بابنه الحصين حتى أغار على بني كلاب وقتل فيهم قتلاً ذريعاً، وهرب منه عُتَبة بن شتير وتمكن ضرار من أسر أبو عُتَبة شتير بن خالدٍ الكلابي وهو شيخ كبير، وقال له ضرار يا شتير إختر واحدة من ثلاث: قال شتير أعرضها علي. فقال ضرار: أن ترد علي ابني حصيناً، قال لا أقدر، قال إذن فأدفع إلي ابنك عُتَبة أقتله به، قال لا ترضى بذلك بني عامر أن يُدفع فارسهم وهو شاب بشيخٍ أعور، قال إذاً أقتلك، فأمر ضرار ابنه أدهم بن ضرار أن يقتله فقتله، قال شمعلة بن الأخضر الضبي:,من قام بقتل حصين بن ضرار الضبي؟,ضرار
لعب المركز الموجود في بلغراد للمقاومة غير العنيفة دورا مهما في تكوين أطر كمارا، كما كان لمجموعة من المنظمات الغربية يد في مساندة الحركة، حيث تلقت أموالا من منظمة بيت الحرية والمؤسسة الديموقراطية الوطنية والاتحاد الأوروبي ومنظمة الأمن والتعاون في أوروبا وغيرهم.,من أين حصلت حركة كمارا على الدعم المالي؟,منظمات غربية مختلفة
في عام 1526، هُزمت المجر على يد الإمبراطورية العثمانية في معركة موهاج، وقتل الملك لويس الثاني ملك المجر. ولكن العثمانيين سحبوا قواتهم ولم يسعوا إلى الاحتلال.,ماذا حدث لملك المجر بعد معركة موهاج؟,توفي خلال المعركة
